,subject_id,trial_no,item_id,importance,naturalness,force_cond,flavour_cond,item_no,item_type,exclude,list
747,56ec151f388e1d000a5924d0,10,ip_circ8,5,2,ip,circ,8,content,0,4
777,56ec151f388e1d000a5924d0,40,ip_deontic10,4,6,ip,deontic,10,content,0,4
741,56ec151f388e1d000a5924d0,4,ip_deontic16,5,6,ip,deontic,16,content,0,4
745,56ec151f388e1d000a5924d0,8,ip_deontic4,6,5,ip,deontic,4,content,0,4
753,56ec151f388e1d000a5924d0,16,ip_epist15,3,1,ip,epist,15,content,0,4
746,56ec151f388e1d000a5924d0,9,ip_epist3,5,1,ip,epist,3,content,0,4
761,56ec151f388e1d000a5924d0,24,ip_epist9,1,1,ip,epist,9,content,0,4
759,56ec151f388e1d000a5924d0,22,low_clear20,0,2,filler,filler,20,filler,0,4
773,56ec151f388e1d000a5924d0,36,low_clear24,2,3,filler,filler,24,filler,0,4
755,56ec151f388e1d000a5924d0,18,low_clear28,2,5,filler,filler,28,filler,0,4
766,56ec151f388e1d000a5924d0,29,low_obvious32,2,5,filler,filler,32,filler,0,4
743,56ec151f388e1d000a5924d0,6,low_obvious36,1,6,filler,filler,36,filler,0,4
770,56ec151f388e1d000a5924d0,33,low_obvious40,0,4,filler,filler,40,filler,0,4
779,56ec151f388e1d000a5924d0,42,notcrucial21,2,2,filler,filler,21,filler,0,4
769,56ec151f388e1d000a5924d0,32,notcrucial25,1,1,filler,filler,25,filler,0,4
767,56ec151f388e1d000a5924d0,30,notcrucial29,3,2,filler,filler,29,filler,0,4
751,56ec151f388e1d000a5924d0,14,notcrucial37,2,1,filler,filler,37,filler,0,4
771,56ec151f388e1d000a5924d0,34,notgoing34,2,6,filler,filler,34,filler,0,4
748,56ec151f388e1d000a5924d0,11,notgoing38,4,6,filler,filler,38,filler,0,4
757,56ec151f388e1d000a5924d0,20,notgoing42,3,6,filler,filler,42,filler,0,4
775,56ec151f388e1d000a5924d0,38,notvital33,3,2,filler,filler,33,filler,0,4
756,56ec151f388e1d000a5924d0,19,notvital41,2,1,filler,filler,41,filler,0,4
760,56ec151f388e1d000a5924d0,23,p_circ11,1,6,p,circ,11,content,0,4
742,56ec151f388e1d000a5924d0,5,p_circ17,3,6,p,circ,17,content,0,4
752,56ec151f388e1d000a5924d0,15,p_circ5,1,6,p,circ,5,content,0,4
750,56ec151f388e1d000a5924d0,13,p_deontic1,3,6,p,deontic,1,content,0,4
763,56ec151f388e1d000a5924d0,26,p_deontic13,2,6,p,deontic,13,content,0,4
772,56ec151f388e1d000a5924d0,35,p_deontic7,3,6,p,deontic,7,content,0,4
774,56ec151f388e1d000a5924d0,37,p_epist12,1,1,p,epist,12,content,0,4
758,56ec151f388e1d000a5924d0,21,p_epist18,1,5,p,epist,18,content,0,4
778,56ec151f388e1d000a5924d0,41,p_epist6,0,3,p,epist,6,content,0,4
84,57d435c8ca054400014bac35,13,happy22,5,6,filler,filler,22,filler,0,6
74,57d435c8ca054400014bac35,3,happy26,0,6,filler,filler,26,filler,0,6
109,57d435c8ca054400014bac35,38,happy30,4,6,filler,filler,30,filler,0,6
92,57d435c8ca054400014bac35,21,high_crucial31,6,6,filler,filler,31,filler,0,6
99,57d435c8ca054400014bac35,28,high_crucial39,5,6,filler,filler,39,filler,0,6
101,57d435c8ca054400014bac35,30,high_vital19,5,4,filler,filler,19,filler,0,6
105,57d435c8ca054400014bac35,34,high_vital23,6,6,filler,filler,23,filler,0,6
107,57d435c8ca054400014bac35,36,high_vital27,6,4,filler,filler,27,filler,0,6
103,57d435c8ca054400014bac35,32,high_vital35,5,6,filler,filler,35,filler,0,6
76,57d435c8ca054400014bac35,5,ip_circ10,0,6,ip,circ,10,content,0,6
81,57d435c8ca054400014bac35,10,ip_circ16,3,6,ip,circ,16,content,0,6
113,57d435c8ca054400014bac35,42,ip_circ4,3,6,ip,circ,4,content,0,6
94,57d435c8ca054400014bac35,23,ip_deontic12,0,6,ip,deontic,12,content,0,6
79,57d435c8ca054400014bac35,8,ip_deontic18,3,6,ip,deontic,18,content,0,6
90,57d435c8ca054400014bac35,19,ip_deontic6,0,6,ip,deontic,6,content,0,6
98,57d435c8ca054400014bac35,27,ip_epist11,0,6,ip,epist,11,content,0,6
72,57d435c8ca054400014bac35,1,ip_epist17,0,6,ip,epist,17,content,0,6
73,57d435c8ca054400014bac35,2,ip_epist5,0,6,ip,epist,5,content,0,6
82,57d435c8ca054400014bac35,11,low_clear20,0,6,filler,filler,20,filler,0,6
86,57d435c8ca054400014bac35,15,low_clear24,0,5,filler,filler,24,filler,0,6
104,57d435c8ca054400014bac35,33,low_clear28,0,6,filler,filler,28,filler,0,6
88,57d435c8ca054400014bac35,17,low_obvious32,0,6,filler,filler,32,filler,0,6
78,57d435c8ca054400014bac35,7,low_obvious36,0,6,filler,filler,36,filler,0,6
75,57d435c8ca054400014bac35,4,low_obvious40,0,6,filler,filler,40,filler,0,6
77,57d435c8ca054400014bac35,6,notcrucial21,0,6,filler,filler,21,filler,0,6
110,57d435c8ca054400014bac35,39,notcrucial25,0,2,filler,filler,25,filler,0,6
83,57d435c8ca054400014bac35,12,notcrucial29,0,6,filler,filler,29,filler,0,6
106,57d435c8ca054400014bac35,35,notcrucial37,0,4,filler,filler,37,filler,0,6
97,57d435c8ca054400014bac35,26,notgoing34,0,6,filler,filler,34,filler,0,6
108,57d435c8ca054400014bac35,37,notgoing38,0,6,filler,filler,38,filler,0,6
91,57d435c8ca054400014bac35,20,notgoing42,0,6,filler,filler,42,filler,0,6
93,57d435c8ca054400014bac35,22,notvital33,0,6,filler,filler,33,filler,0,6
96,57d435c8ca054400014bac35,25,notvital41,0,6,filler,filler,41,filler,0,6
80,57d435c8ca054400014bac35,9,p_circ1,0,6,p,circ,1,content,0,6
89,57d435c8ca054400014bac35,18,p_circ13,0,6,p,circ,13,content,0,6
100,57d435c8ca054400014bac35,29,p_circ7,0,6,p,circ,7,content,0,6
112,57d435c8ca054400014bac35,41,p_deontic15,4,6,p,deontic,15,content,0,6
85,57d435c8ca054400014bac35,14,p_deontic3,0,6,p,deontic,3,content,0,6
87,57d435c8ca054400014bac35,16,p_deontic9,3,6,p,deontic,9,content,0,6
102,57d435c8ca054400014bac35,31,p_epist14,0,1,p,epist,14,content,0,6
95,57d435c8ca054400014bac35,24,p_epist2,0,6,p,epist,2,content,0,6
111,57d435c8ca054400014bac35,40,p_epist8,0,6,p,epist,8,content,0,6
360,59ad6f1e09709e00013c2ba5,37,happy22,2,5,filler,filler,22,filler,0,2
324,59ad6f1e09709e00013c2ba5,1,happy26,4,5,filler,filler,26,filler,0,2
344,59ad6f1e09709e00013c2ba5,21,happy30,2,5,filler,filler,30,filler,0,2
334,59ad6f1e09709e00013c2ba5,11,high_crucial31,6,5,filler,filler,31,filler,0,2
328,59ad6f1e09709e00013c2ba5,5,high_crucial39,6,5,filler,filler,39,filler,0,2
359,59ad6f1e09709e00013c2ba5,36,high_vital19,6,5,filler,filler,19,filler,0,2
356,59ad6f1e09709e00013c2ba5,33,high_vital23,6,6,filler,filler,23,filler,0,2
351,59ad6f1e09709e00013c2ba5,28,high_vital27,6,6,filler,filler,27,filler,0,2
343,59ad6f1e09709e00013c2ba5,20,high_vital35,6,5,filler,filler,35,filler,0,2
326,59ad6f1e09709e00013c2ba5,3,ip_circ12,0,4,ip,circ,12,content,0,2
345,59ad6f1e09709e00013c2ba5,22,ip_circ18,6,6,ip,circ,18,content,0,2
338,59ad6f1e09709e00013c2ba5,15,ip_circ6,1,5,ip,circ,6,content,0,2
340,59ad6f1e09709e00013c2ba5,17,ip_deontic14,6,6,ip,deontic,14,content,0,2
329,59ad6f1e09709e00013c2ba5,6,ip_deontic2,5,4,ip,deontic,2,content,0,2
332,59ad6f1e09709e00013c2ba5,9,ip_deontic8,5,4,ip,deontic,8,content,0,2
330,59ad6f1e09709e00013c2ba5,7,ip_epist1,4,4,ip,epist,1,content,0,2
341,59ad6f1e09709e00013c2ba5,18,ip_epist13,3,3,ip,epist,13,content,0,2
361,59ad6f1e09709e00013c2ba5,38,ip_epist7,4,3,ip,epist,7,content,0,2
347,59ad6f1e09709e00013c2ba5,24,low_clear24,1,6,filler,filler,24,filler,0,2
362,59ad6f1e09709e00013c2ba5,39,low_clear28,0,6,filler,filler,28,filler,0,2
333,59ad6f1e09709e00013c2ba5,10,low_obvious32,0,6,filler,filler,32,filler,0,2
325,59ad6f1e09709e00013c2ba5,2,low_obvious36,0,4,filler,filler,36,filler,0,2
364,59ad6f1e09709e00013c2ba5,41,low_obvious40,0,5,filler,filler,40,filler,0,2
348,59ad6f1e09709e00013c2ba5,25,notcrucial21,6,4,filler,filler,21,filler,0,2
346,59ad6f1e09709e00013c2ba5,23,notcrucial25,3,2,filler,filler,25,filler,0,2
337,59ad6f1e09709e00013c2ba5,14,notcrucial29,3,1,filler,filler,29,filler,0,2
353,59ad6f1e09709e00013c2ba5,30,notcrucial37,5,6,filler,filler,37,filler,0,2
342,59ad6f1e09709e00013c2ba5,19,notgoing34,2,5,filler,filler,34,filler,0,2
350,59ad6f1e09709e00013c2ba5,27,notgoing38,6,6,filler,filler,38,filler,0,2
336,59ad6f1e09709e00013c2ba5,13,notgoing42,4,5,filler,filler,42,filler,0,2
327,59ad6f1e09709e00013c2ba5,4,notvital33,3,2,filler,filler,33,filler,0,2
358,59ad6f1e09709e00013c2ba5,35,notvital41,6,4,filler,filler,41,filler,0,2
352,59ad6f1e09709e00013c2ba5,29,p_circ15,4,5,p,circ,15,content,0,2
349,59ad6f1e09709e00013c2ba5,26,p_circ3,5,5,p,circ,3,content,0,2
357,59ad6f1e09709e00013c2ba5,34,p_circ9,2,6,p,circ,9,content,0,2
355,59ad6f1e09709e00013c2ba5,32,p_deontic11,6,6,p,deontic,11,content,0,2
339,59ad6f1e09709e00013c2ba5,16,p_deontic17,5,6,p,deontic,17,content,0,2
331,59ad6f1e09709e00013c2ba5,8,p_deontic5,4,4,p,deontic,5,content,0,2
335,59ad6f1e09709e00013c2ba5,12,p_epist10,3,2,p,epist,10,content,0,2
363,59ad6f1e09709e00013c2ba5,40,p_epist16,6,4,p,epist,16,content,0,2
354,59ad6f1e09709e00013c2ba5,31,p_epist4,5,5,p,epist,4,content,0,2
52,5a72e36c6fc3c60001f97a9b,11,happy22,2,6,filler,filler,22,filler,0,0
74,5a72e36c6fc3c60001f97a9b,33,happy26,1,6,filler,filler,26,filler,0,0
43,5a72e36c6fc3c60001f97a9b,2,happy30,3,6,filler,filler,30,filler,0,0
80,5a72e36c6fc3c60001f97a9b,39,high_crucial31,6,6,filler,filler,31,filler,0,0
45,5a72e36c6fc3c60001f97a9b,4,high_crucial39,6,6,filler,filler,39,filler,0,0
58,5a72e36c6fc3c60001f97a9b,17,high_vital19,6,4,filler,filler,19,filler,0,0
48,5a72e36c6fc3c60001f97a9b,7,high_vital23,6,6,filler,filler,23,filler,0,0
64,5a72e36c6fc3c60001f97a9b,23,high_vital27,6,6,filler,filler,27,filler,0,0
69,5a72e36c6fc3c60001f97a9b,28,high_vital35,5,4,filler,filler,35,filler,0,0
78,5a72e36c6fc3c60001f97a9b,37,ip_circ10,0,3,ip,circ,10,content,0,6
56,5a72e36c6fc3c60001f97a9b,15,ip_circ16,4,6,ip,circ,16,content,0,6
60,5a72e36c6fc3c60001f97a9b,19,ip_circ4,3,6,ip,circ,4,content,0,6
83,5a72e36c6fc3c60001f97a9b,42,ip_deontic12,5,4,ip,deontic,12,content,0,6
49,5a72e36c6fc3c60001f97a9b,8,ip_deontic18,5,4,ip,deontic,18,content,0,6
42,5a72e36c6fc3c60001f97a9b,1,ip_deontic6,5,5,ip,deontic,6,content,0,6
